time_stretch,pitch_shift,loudness_rms,spectral_centroid,source
0.957,0.88,0.002601920161396265,10634.46532578118,1
0.957,0.88,0.0032907722052186728,10911.230160266947,1
0.957,0.88,0.0037083213683217764,10863.703510313051,1
0.957,0.88,0.003708799835294485,11031.655902088834,1
0.957,0.88,0.003710046410560608,11163.766821010127,1
0.957,0.88,0.003657618071883917,11225.443870525069,1
0.957,0.88,0.0036618360318243504,11411.00411369262,1
0.957,0.88,0.003615698777139187,11399.56432085624,1
0.957,0.88,0.0037161086220294237,11093.477335134796,1
0.957,0.88,0.003713735146448016,11092.840771643925,1
0.957,0.88,0.0037332256324589252,11087.914114433019,1
0.957,0.88,0.0036866115406155586,10926.715226982878,1
0.957,0.88,0.003571013920009136,10918.932712934096,1
0.957,0.88,0.003552361624315381,10872.265626045271,1
0.957,0.88,0.0035377044696360826,11009.905708442171,1
0.957,0.88,0.0035719843581318855,11195.235346682677,1
0.957,0.88,0.003558104857802391,10992.184666847817,1
0.957,0.88,0.0035737031139433384,10971.859568719288,1
0.957,0.88,0.0035993498750030994,10904.507153609005,1
0.957,0.88,0.003583480603992939,10813.409015625588,1
0.957,0.88,0.0035811769776046276,10857.566316522072,1
0.957,0.88,0.0035061766393482685,10747.576386202452,1
0.957,0.88,0.003429248696193099,10752.96046353884,1
0.957,0.88,0.0034481100738048553,11017.698953216208,1
0.957,0.88,0.0035319728776812553,11010.333871076291,1
0.957,0.88,0.0035318532027304173,11045.892207425677,1
0.957,0.88,0.00357385934330523,10903.707088280524,1
0.957,0.88,0.0035890068393200636,10972.649292058268,1
0.957,0.88,0.0035840964410454035,11012.507382424983,1
0.957,0.88,0.0036268308758735657,11120.113855293264,1
0.957,0.88,0.00366446771658957,11141.732154296928,1
0.957,0.88,0.0036542147863656282,10943.520248533305,1
0.957,0.88,0.0036786608397960663,10960.609000949247,1
0.957,0.88,0.003584262914955616,11067.713203136278,1
0.957,0.88,0.0036180983297526836,11015.339619504739,1
0.957,0.88,0.0036296560429036617,10797.330616851143,1
0.957,0.88,0.003615390043705702,10852.697431260814,1
0.957,0.88,0.003626535413786769,10898.233995803614,1
0.957,0.88,0.0036107648629695177,10713.751403589653,1
0.957,0.88,0.0036241617053747177,11018.56951532478,1
0.957,0.88,0.0036241470370441675,11101.305447218285,1
0.957,0.88,0.0035804614890366793,11010.227773676583,1
0.957,0.88,0.0035173858050256968,10967.74559420137,1
0.957,0.88,0.0035178926773369312,11131.37120600269,1
0.957,0.88,0.003503365907818079,10856.229855945927,1
0.957,0.88,0.0035648257471621037,10876.682222692682,1
0.957,0.88,0.0036053333897143602,11024.05313085682,1
