time_stretch,pitch_shift,loudness_rms,spectral_centroid,source
1.0,0.0,0.0012643513036891818,5606.520251739996,0
1.0,0.0,0.0014941493282094598,5534.388910026475,0
1.0,0.0,0.0016924291849136353,5755.125624560078,0
1.0,0.0,0.0017032991163432598,5599.814048486829,0
1.0,0.0,0.0016728321788832545,5586.87967960142,0
1.0,0.0,0.0017491583712399006,5639.244588082809,0
1.0,0.0,0.0018294923938810825,5752.658019094434,0
1.0,0.0,0.0017679005395621061,5320.934444724129,0
1.0,0.0,0.0017381998477503657,5579.652323476835,0
1.0,0.0,0.0018201600760221481,5800.350838700142,0
1.0,0.0,0.0017377957701683044,5600.200366681707,0
1.0,0.0,0.0018280262593179941,5739.281785842622,0
1.0,0.0,0.0017695599235594273,5839.212231657773,0
1.0,0.0,0.0017084404826164246,5844.906103037718,0
1.0,0.0,0.0017132072243839502,5944.56593670893,0
1.0,0.0,0.0017004443798214197,6032.263350389112,0
1.0,0.0,0.0017012400785461068,5951.529319661773,0
1.0,0.0,0.0017927500884979963,5853.891549513086,0
1.0,0.0,0.0018294029869139194,5731.267843562515,0
1.0,0.0,0.001895224442705512,5714.623795453737,0
1.0,0.0,0.0017563451547175646,5920.476173734008,0
1.0,0.0,0.001731948577798903,5974.141222438114,0
1.0,0.0,0.0016812022076919675,5938.156736415269,0
1.0,0.0,0.0017121275886893272,5692.053487791936,0
1.0,0.0,0.001696356339380145,5722.161818252291,0
1.0,0.0,0.0016965842805802822,5636.570391162697,0
1.0,0.0,0.0018070688238367438,5427.092756633363,0
1.0,0.0,0.0017186924815177917,5506.137775104574,0
1.0,0.0,0.001838770811446011,5576.701046994418,0
1.0,0.0,0.0018624328076839447,5664.483435105394,0
1.0,0.0,0.0017989446641877294,5669.8420442348315,0
1.0,0.0,0.0017102622659876943,5691.009863489584,0
1.0,0.0,0.0016723363660275936,5836.170707201691,0
1.0,0.0,0.0015633211005479097,5600.494943419873,0
1.0,0.0,0.0016421234467998147,5640.201549450646,0
1.0,0.0,0.0017518650274723768,5719.3826557291595,0
1.0,0.0,0.0018094638362526894,5399.426178543677,0
1.0,0.0,0.0018403813010081649,5440.064906353306,0
1.0,0.0,0.0018136778380721807,5656.57613844602,0
1.0,0.0,0.0017753682332113385,5501.323056001831,0
1.0,0.0,0.001794590032659471,5354.287929925496,0
1.0,0.0,0.0018625095253810287,5565.019047879145,0
1.0,0.0,0.001844791229814291,5457.620639831793,0
1.0,0.0,0.0017682950710877776,5457.623713678773,0
1.0,0.0,0.0018468276830390096,5497.3837424183785,0
1.0,0.0,0.0019561131484806538,5328.376505763454,0
1.0,0.0,0.0019357287092134356,5096.740877867216,0
1.0,0.0,0.0020262699108570814,5157.922918804977,0
1.0,0.0,0.002051107119768858,5357.675029639869,0
1.0,0.0,0.0019283293513581157,5224.340143707839,0
1.0,0.0,0.0018896651454269886,5377.378565057912,0
1.0,0.0,0.001809774897992611,5853.86915091308,0
1.0,0.0,0.0017201256705448031,5666.382972105381,0
1.0,0.0,0.001695121405646205,5777.495544492547,0
1.0,0.0,0.0016753546660766006,5833.544182406777,0
1.0,0.0,0.0017435589106753469,5969.675763383849,0
1.0,0.0,0.0017198995919898152,5678.925824960522,0
1.0,0.0,0.0018395415972918272,5790.184790245095,0
1.0,0.0,0.001736892038024962,5877.330187860562,0
1.0,0.0,0.0016801226884126663,5860.667051481416,0
1.0,0.0,0.0016316453693434596,5792.901159889908,0
1.0,0.0,0.0017059033270925283,5974.651678948912,0
1.0,0.0,0.0016555633628740907,5792.526439111945,0
1.0,0.0,0.0016147504793480039,5661.361025974013,0
1.0,0.0,0.0017821480287238955,5989.734762704535,0
1.0,0.0,0.0017653900431469083,5583.2312075135405,0
1.0,0.0,0.001745022600516677,5421.695311662989,0
