path,filename,samplerate,channels,frames,duration_sec
data/raw/piano/fur_elise/Fur_elise_1.wav,Fur_elise_1.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_10.wav,Fur_elise_10.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_11.wav,Fur_elise_11.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_12.wav,Fur_elise_12.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_13.wav,Fur_elise_13.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_14.wav,Fur_elise_14.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_15.wav,Fur_elise_15.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_16.wav,Fur_elise_16.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_17.wav,Fur_elise_17.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_18.wav,Fur_elise_18.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_19.wav,Fur_elise_19.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_2.wav,Fur_elise_2.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_20.wav,Fur_elise_20.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_21.wav,Fur_elise_21.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_22.wav,Fur_elise_22.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_23.wav,Fur_elise_23.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_24.wav,Fur_elise_24.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_25.wav,Fur_elise_25.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_26.wav,Fur_elise_26.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_27.wav,Fur_elise_27.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_28.wav,Fur_elise_28.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_29.wav,Fur_elise_29.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_3.wav,Fur_elise_3.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_30.wav,Fur_elise_30.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_31.wav,Fur_elise_31.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_32.wav,Fur_elise_32.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_33.wav,Fur_elise_33.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_34.wav,Fur_elise_34.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_35.wav,Fur_elise_35.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_36.wav,Fur_elise_36.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_37.wav,Fur_elise_37.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_38.wav,Fur_elise_38.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_39.wav,Fur_elise_39.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_4.wav,Fur_elise_4.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_40.wav,Fur_elise_40.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_41.wav,Fur_elise_41.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_42.wav,Fur_elise_42.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_43.wav,Fur_elise_43.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_44.wav,Fur_elise_44.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_45.wav,Fur_elise_45.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_46.wav,Fur_elise_46.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_47.wav,Fur_elise_47.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_48.wav,Fur_elise_48.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_49.wav,Fur_elise_49.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_5.wav,Fur_elise_5.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_50.wav,Fur_elise_50.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_51.wav,Fur_elise_51.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_52.wav,Fur_elise_52.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_53.wav,Fur_elise_53.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_54.wav,Fur_elise_54.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_55.wav,Fur_elise_55.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_56.wav,Fur_elise_56.wav,44100,2,1179515,26.74637188208617
